RecordedDate	Recorded Date
ngse_1	NGSE item (?-?): I will be able to achieve most of the goals that I have set for myself.
ngse_2	NGSE item (?-?): When facing difficult tasks, I am certain that I will accomplish them.
ngse_3	NGSE item (?-?): In general, I think that I can obtain outcomes that are important to me.
ngse_4	NGSE item (?-?): I believe I can succeed at most any endeavour to which I set my mind.
ngse_5	NGSE item (?-?): I will be able to successfully overcome many challenges.
ngse_6	NGSE item (?-?): I am confident that I can perform effectively on many different tasks.
ngse_7	NGSE item (?-?): Compared to other people, I can do most tasks very well.
ngse_8	NGSE item (?-?): Even when things are tough, I can perform quite well.
patms_1	PATMS item (?-?): If I have trouble understanding something, I go over it again until I understand it.
patms_2	PATMS item (?-?): I try to complete assignments as fast as possible without checking my accuracy.
patms_3	PATMS item (?-?): If I have trouble solving a problem, I'm more likely to guess at the answer than to look at examples and try to figure things out.
patms_4	PATMS item (?-?): If I have trouble solving a problem, I'll try to get someone else to solve it for me.
patms_5	PATMS item (?-?): When I read something that doesn't make sense, I skip it and hope that it is explained in class.
patms_6	PATMS item (?-?): When I run into a difficult problem, I keep working at it until I think I've solved it.
patms_7	PATMS item (?-?): When I run into a difficult problem, I usually give up and go on to the next task.
crt_1	The ages of Mark and Adam add up to 28 years total. Mark is 20 years older than Adam. How many years old is Adam? Please enter a number.
crt_2	If it takes 10 seconds for 10 printers to print out 10 pages of paper, how many seconds will it take 50 printers to print out 50 pages of paper? Please enter a number.
crt_3	On a loaf of bread, there is a patch of mould. Every day, the patch doubles in size. If it takes 40 days for the patch to cover the entire loaf of bread, how many days would it take for the patch to cover half of the loaf of bread? Please enter a number.
god_belief	How strongly do you believe in God (or gods) (from 0-100)? 
crt_check_1	You have just answered three reasoning problems. How many of them do you think you answered correctly? Please enter a number.
crt_check_2	You have just answered three reasoning problems. Did you look any of the answers up online?
stat_first  Currently studying for the first stat course.
stat_now	Are you currently studying your first statistics course/module?
stat_prev_1	Please provide the names of all university-level statistics modules that you have previously taken (i.e. not the module you're currently studying): - 1
stat_prev_2	Please provide the names of all university-level statistics modules that you have previously taken (i.e. not the module you're currently studying): - 2
stat_prev_3	Please provide the names of all university-level statistics modules that you have previously taken (i.e. not the module you're currently studying): - 3
stat_prev_4	Please provide the names of all university-level statistics modules that you have previously taken (i.e. not the module you're currently studying): - 4
stat_prev_5	Please provide the names of all university-level statistics modules that you have previously taken (i.e. not the module you're currently studying): - 5
stat_result_1	Please provide your final number grade (e.g. 55, 62, 78) for each university-level statistics module that you have previously taken
stat_result_2	Please provide your final number grade (e.g. 55, 62, 78) for each university-level statistics module that you have previously taken
stat_result_3	Please provide your final number grade (e.g. 55, 62, 78) for each university-level statistics module that you have previously taken
stat_result_4	Please provide your final number grade (e.g. 55, 62, 78) for each university-level statistics module that you have previously taken
stat_result_5	Please provide your final number grade (e.g. 55, 62, 78) for each university-level statistics module that you have previously taken
uni_year	Which year of your degree course are you in?
age	What is your age?
gender_1	Please indicate your gender identity. - Selected Choice
gender_2	Please indicate your gender identity. - Another gender (please specify) - Text
spld_1	Have you been diagnosed with any of the following Specific Learning Difficulties (SpLDs)? - Selected Choice
spld_2	Have you been diagnosed with any of the following Specific Learning Difficulties (SpLDs)? - Other (please specify) - Text
